1 1:8.09559187
1 2:6.0036155
1 3:4.01500758
1 4:12.60530363
1 5:8.34722057
1 6:8.05376776
1 7:10.71223257
1 8:16.55534114
1 9:20.09139338
1 10:25.89607947
1 11:31.84918133
1 12:33.98743332
1 13:35.34756355
1 14:25.742115
1 15:38.34784766
1 16:41.18576717
1 17:29.50691544
1 18:11.08348594
1 19:26.7910622
1 20:30.52130495
1 21:42.45082903
1 22:41.49332456
1 23:38.26480712
1 24:36.87067308
2 1:6.00362923
2 2:12.28172199
2 3:10.01596741
2 4:6.59595449
2 5:14.43289383
2 6:14.05472759
2 7:16.01002768
2 8:22.63829175
2 9:25.3895829
2 10:19.88553336
2 11:25.83863475
2 12:27.97686626
2 13:29.3360296
2 14:30.92552182
2 15:43.60165732
2 16:37.42442222
2 17:35.58984723
2 18:17.08444576
2 19:32.79202247
2 20:36.52242062
2 21:42.09433831
2 22:40.50488548
2 23:32.24793118
2 24:40.85085178
3 1:4.01493635
3 2:10.01588414
3 3:8.17764039
3 4:16.00599199
3 5:4.33907844
3 6:4.04562787
3 7:6.70391537
3 8:12.54719906
3 9:16.08307616
3 10:29.45881642
3 11:35.41213196
3 12:37.55831599
3 13:39.02961204
3 14:21.73381293
3 15:34.33953785
3 16:36.96849283
3 17:25.49877336
3 18:7.07534604
3 19:22.78292231
3 20:26.51316506
3 21:38.42329977
3 22:37.46483393
3 23:41.59078331
3 24:32.86186436
4 1:8.34631637
4 2:14.43401171
4 3:4.33824541
4 4:11.46552487
4 5:4.8587827
4 6:8.37705878
4 7:2.40844791
4 8:8.18746182
4 9: 11.78760835
4 10:25.00975527
4 11:30.96311554 
4 12:33.11079927
4 13:34.63285538
4 14:17.43119312
4 15:30.03329444
4 16:32.66555014
4 17:21.13842326
4 18:11.40677695
4 19:27.12530195
4 20:29.96919726
4 21:34.11702246
4 22:38.72807943
4 23:37.39384281
4 24:37.23821761
5 1:10.71607144
5 2:15.98300452
5 3:6.70782
5 4:9.09835298
5 5:2.41318558
5 6:10.74663338
5 7:4.77805265
5 8:10.55703788
5 9:9.42113919
5 10:22.64269882
5 11:28.59603741
5 12:30.74283321
5 13:32.23837409
5 14:14.89003231
5 15:27.39002895
5 16:30.12439381
5 17:23.50800136
5 18:13.77635155
5 19:29.49487638
5 20:32.33877727
5 21:31.474562
5 22:35.82809356
5 23:35.02293363
5 24:39.87491358
6 1:12.62309774
6 2:6.61390006
6 3:16.05344181
6 4:13.24518014
6 5:11.51782191
6 6:20.09223873
6 7:9.14589053
6 8:19.66169135
6 9:18.52561198
6 10:13.28960331
6 11:19.24270473
6 12:21.3809362
6 13:22.74009976
6 14:23.9945059
6 15:36.71028569
6 16:30.82786505
6 17:32.61265513
6 18:23.12195677
6 19:38.85206319
6 20:41.6510897
6 21:35.48712186
6 22:33.898451
6 23:25.65200268
6 24:34.0733929
7 1:32.03492356
7 2:26.02458498
7 3:35.62567419
7 4:19.41070938
7 5:31.18174697
7 6:39.69375013
7 7:28.80991323
7 8:36.37025281
7 9:20.90784944
7 10:5.99633429
7 11:4.23413049
7 12:2.1543854
7 13:5.35796193
7 14:24.41756155
7 15:20.30688072
7 16:13.44483196
7 17:32.47872877
7 18:41.30716378
7 19:25.1157267
7 20:26.29886533
7 21:16.08359875
7 22:14.67174619
7 23:6.42545187
7 24:14.84683226
8 1:26.03867855
8 2:20.02834041
8 3:29.62922416
8 4:13.41446478
8 5:25.18525271
8 6:33.66809353
8 7:22.81343868
8 8:32.56841971
8 9:14.91019662
8 10:11.89143527
8 11:5.9531911
8 12:8.09142261
8 13:9.4505861
8 14:20.37883104
8 15:26.38826188
8 16:17.53700646
8 17:38.54495289
8 18:36.69803701
8 19:31.05276227
8 20:32.2359023
8 21:22.17615381
8 22:20.6087844
8 23:12.36248905
8 24:20.78386946
9 1:20.15322173 
9 2:25.42056125  
9 3:16.14497027
9 4:18.53607596
9 5:11.8503355
9 6:20.18438185
9 7:9.47912972
9 8:17.44939522
9 9:10.98035285
9 10:14.77473698
9 11:20.72926728
9 12:22.91223403
9 13:24.20334737
9 14:5.46430686
9 15:17.9616633
9 16:20.69786642
9 17:30.14506847
9 18:23.21409983
9 19:39.43355956
9 20:38.2752021
9 21:22.04616811
9 22:26.38530239
9 23:27.22987809
9 24:30.8000888
10 1:25.84600177
10 2:31.00112282
10 3:21.83776507
10 4:24.053489
10 5:17.53600656
10 6:24.69503865
10 7:14.99654198
10 8:11.80881179
10 9:5.51310131
10 10:20.29221967
10 11:24.26464335
10 12:21.99084725
10 13:18.71052784
10 14:10.97727789
10 15:12.49754403
10 16:15.23359132
10 17:24.59767685
10 18:27.72475683
10 19:36.02001539
10 20:32.74475688
10 21:16.58204124
10 22:20.91980213
10 23:26.28336907
10 24:25.28691217
11 1:16.5958625
11 2:22.68061804
11 3:12.58779159
11 4:19.64803467
11 5:8.22610169
11 6:12.61598954
11 7:10.59094018
11 8:16.37746902
11 9:17.34970257
11 10:32.34718891
11 11:36.06708329
11 12:33.66474311
11 13:30.37764059
11 14:11.66715735
11 15:24.39310088
11 16:26.90144965
11 17:12.95096253
11 18:15.64570771
11 19:25.27851422
11 20:21.5003868
11 21:28.4718247
11 22:32.82617262
11 23:38.14450812
11 24:35.9293919
12 1:8.05363249
12 2:14.05458028
12 3:4.04556383
12 4:20.04472332
12 5:8.37782505
12 6:6.31716452
12 7:10.74266197
12 8:12.6387837
12 9:20.12242706
12 10:33.49762264
12 11:39.4804411
12 12:41.59826822
12 13:43.10601611
12 14:24.57525042
12 15:37.2264638
12 16:39.80969097
12 17:25.61146641
12 18:3.04647841
12 19:18.75404976
12 20:22.47991462
12 21:41.31423686
12 22:33.41340848
12 23:37.2176293
12 24:28.83297544
13 1:11.08426927
13 2:17.08521706
13 3:7.07620061
13 4:23.07535996
13 5:11.40846183
13 6:3.04739701
13 7:13.77329875
13 8:15.66942049
13 9:23.15306365
13 10:36.5284874
13 11:41.07702741
13 12:38.56287342
13 13:41.9742166
13 14:27.6058872
13 15:39.24194946
13 16:42.85254768
13 17:28.21526048
13 18:6.07711519
13 19:15.72175718
13 20:19.44751144
13 21:43.37597141
13 22:30.38098379
13 23:34.18134899
13 24:25.80068279
14 1:29.62843248
14 2:35.71316748
14 3:25.62036157
14 4:32.67995798
14 5:21.25802261
14 6:25.66981102
